User_ID,Purchase,Cluster
1000001,67068.0,1
1000002,91590.0,1
1000003,49947.0,1
1000004,66607.0,1
1000005,123616.0,1
1000006,86330.0,1
1000007,34616.0,1
1000008,227416.0,0
1000009,89139.0,1
1000010,563972.0,2
1000011,99312.0,1
1000012,22111.0,1
1000013,85526.0,1
1000014,37950.0,1
1000015,253435.0,0
1000016,68838.0,1
1000017,235651.0,0
1000018,494516.0,0
1000019,333735.0,0
1000020,27213.0,1
1000021,13631.0,1
1000022,237056.0,0
1000023,431033.0,0
1000024,98829.0,1
1000025,105702.0,1
1000026,320112.0,0
1000027,105630.0,1
1000028,159989.0,1
1000029,132402.0,1
1000030,33691.0,1
1000031,74655.0,1
1000032,27179.0,1
1000033,442917.0,0
1000034,221488.0,0
1000035,188250.0,1
1000036,662868.0,2
1000037,56544.0,1
1000039,112859.0,1
1000041,11940.0,1
1000042,312319.0,0
1000043,58798.0,1
1000044,322001.0,0
1000045,181473.0,1
1000046,28470.0,1
1000047,30901.0,1
1000048,695368.0,2
1000049,184270.0,1
1000050,54328.0,1
1000051,50636.0,1
1000052,118443.0,1
1000053,1071712.0,2
1000054,23698.0,1
1000055,29404.0,1
1000056,52409.0,1
1000057,106941.0,1
1000058,523505.0,0
1000059,247519.0,0
1000060,51997.0,1
1000061,63578.0,1
1000062,511070.0,0
1000063,69894.0,1
1000064,39019.0,1
1000065,165055.0,1
1000066,18785.0,1
1000067,73619.0,1
1000068,79452.0,1
1000069,54749.0,1
1000070,31197.0,1
1000071,50398.0,1
1000072,55905.0,1
1000073,287812.0,0
1000074,53201.0,1
1000075,270910.0,0
1000076,140252.0,1
1000077,29265.0,1
1000078,111551.0,1
1000079,44542.0,1
1000080,64952.0,1
1000081,119171.0,1
1000082,142761.0,1
1000083,174119.0,1
1000084,43339.0,1
1000085,53962.0,1
1000086,84791.0,1
1000087,57112.0,1
1000088,64515.0,1
1000089,22341.0,1
1000090,375724.0,0
1000091,37486.0,1
1000092,351069.0,0
1000093,266329.0,0
1000094,15482.0,1
1000095,115845.0,1
1000096,51625.0,1
1000097,200653.0,0
1000098,8576.0,1
1000099,96927.0,1
1000100,98550.0,1
1000101,218385.0,0
1000102,153189.0,1
1000103,138071.0,1
1000104,32691.0,1
1000105,136756.0,1
1000106,71786.0,1
1000107,154362.0,1
1000108,2021.0,1
1000109,82367.0,1
1000110,119044.0,1
1000111,114459.0,1
1000112,81051.0,1
1000113,61362.0,1
1000114,106514.0,1
1000116,93222.0,1
1000117,444671.0,0
1000118,248367.0,0
1000119,86574.0,1
1000120,73421.0,1
1000121,115605.0,1
1000122,52085.0,1
1000123,667102.0,2
1000124,33816.0,1
1000125,118013.0,1
1000126,46832.0,1
1000127,243860.0,0
1000128,24243.0,1
1000129,234338.0,0
1000130,383437.0,0
1000131,288220.0,0
1000132,65337.0,1
1000133,141285.0,1
1000134,152355.0,1
1000135,91038.0,1
1000136,249690.0,0
1000137,203501.0,0
1000138,122805.0,1
1000139,376396.0,0
1000140,53966.0,1
1000141,4921.0,1
1000142,69396.0,1
1000143,85015.0,1
1000144,11688.0,1
1000145,73477.0,1
1000146,668754.0,2
1000147,340932.0,0
1000148,755873.0,2
1000149,687143.0,2
1000150,277429.0,0
1000151,580670.0,2
1000152,27771.0,1
1000153,53611.0,1
1000154,71096.0,1
1000155,92844.0,1
1000156,98604.0,1
1000157,429490.0,0
1000158,23027.0,1
1000159,71530.0,1
1000160,26937.0,1
1000161,440782.0,0
1000162,171491.0,1
1000163,364600.0,0
1000164,20374.0,1
1000165,119521.0,1
1000166,517369.0,0
1000167,7169.0,1
1000169,644775.0,2
1000170,129224.0,1
1000171,49570.0,1
1000172,41288.0,1
1000173,675117.0,2
1000174,225253.0,0
1000175,321992.0,0
1000176,63235.0,1
1000177,90516.0,1
1000178,143745.0,1
1000179,102207.0,1
1000180,65277.0,1
1000181,383012.0,0
1000182,138978.0,1
1000183,123378.0,1
1000184,105849.0,1
1000185,105937.0,1
1000186,140787.0,1
1000187,441482.0,0
1000188,105119.0,1
1000189,23450.0,1
1000190,174118.0,1
1000191,14831.0,1
1000192,536917.0,2
1000193,206611.0,0
1000194,63881.0,1
1000195,1014285.0,2
1000196,128167.0,1
1000197,33401.0,1
1000198,553419.0,2
1000199,446752.0,0
1000200,27404.0,1
1000201,153898.0,1
1000202,740303.0,2
1000203,74766.0,1
1000204,448573.0,0
1000205,279998.0,0
1000206,24223.0,1
1000207,24683.0,1
1000208,282436.0,0
1000209,24629.0,1
1000210,116486.0,1
1000211,44954.0,1
1000212,158525.0,1
1000213,27600.0,1
1000214,189461.0,1
1000215,54789.0,1
1000216,672473.0,2
1000217,26460.0,1
1000218,63416.0,1
1000219,32878.0,1
1000220,126762.0,1
1000221,29349.0,1
1000222,96958.0,1
1000223,321053.0,0
1000225,553909.0,2
1000227,20194.0,1
1000228,23011.0,1
1000229,212232.0,0
1000230,239345.0,0
1000231,199899.0,0
1000232,74078.0,1
1000233,26690.0,1
1000234,64276.0,1
1000235,630089.0,2
1000236,84445.0,1
1000237,201406.0,0
1000238,235887.0,0
1000239,104262.0,1
1000240,178615.0,1
1000241,40601.0,1
1000242,441526.0,0
1000243,62162.0,1
1000244,87773.0,1
1000245,692732.0,2
1000246,20184.0,1
1000247,15241.0,1
1000248,11676.0,1
1000249,134130.0,1
1000250,26474.0,1
1000251,61644.0,1
1000252,110551.0,1
1000253,25371.0,1
1000254,32692.0,1
1000255,407990.0,0
1000256,158617.0,1
1000257,89101.0,1
1000258,136059.0,1
1000259,250546.0,0
1000260,261335.0,0
1000261,472139.0,0
1000262,195076.0,0
1000263,96576.0,1
1000264,328530.0,0
1000265,64778.0,1
1000266,105588.0,1
1000267,146947.0,1
1000268,274516.0,0
1000269,49229.0,1
1000270,124681.0,1
1000271,495886.0,0
1000272,589362.0,2
1000273,234739.0,0
1000274,208172.0,0
1000275,70960.0,1
1000276,22024.0,1
1000277,20674.0,1
1000278,209480.0,0
1000279,77795.0,1
1000280,21838.0,1
1000281,74010.0,1
1000282,47409.0,1
1000283,18555.0,1
1000284,435550.0,0
1000285,145263.0,1
1000286,42815.0,1
1000287,155597.0,1
1000289,52278.0,1
1000290,51823.0,1
1000291,88332.0,1
1000292,62269.0,1
1000293,288703.0,0
1000294,6887.0,1
1000295,241809.0,0
1000296,119757.0,1
1000297,129620.0,1
1000298,7797.0,1
1000299,143026.0,1
1000300,521944.0,0
1000301,506156.0,0
1000302,849492.0,2
1000303,247795.0,0
1000304,23139.0,1
1000305,101966.0,1
1000306,341309.0,0
1000307,185627.0,1
1000308,573004.0,2
1000309,147060.0,1
1000310,195339.0,0
1000311,38531.0,1
1000312,62351.0,1
1000313,33271.0,1
1000314,354211.0,0
1000315,2559.0,1
1000316,113802.0,1
1000317,62122.0,1
1000318,38938.0,1
1000319,688209.0,2
1000320,36801.0,1
1000321,230967.0,0
1000322,43662.0,1
1000323,94105.0,1
1000324,40816.0,1
1000325,49952.0,1
1000326,577111.0,2
1000327,244413.0,0
1000328,65277.0,1
1000329,526304.0,0
1000330,58133.0,1
1000331,631643.0,2
1000332,109755.0,1
